GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,GEOID,TotalPopulaton,White,Black,AIAN,Asian,NHPI,Other,TwoOrMore,NotHispanicOrLatino,HispanicOrLatino,TotalPopulation25Over,NoSchooling,EarlyChildhoodEducation,HighSchool,SomeCollege,Associates,Bachelors,TotalHouseholds,LimitedEnglishSpeaking,NotLimitedEnglishSpeaking,MedianIncome,HouseholdsWithElectronics,HouseholdsWithComputer,HouseholdsWithMobileDevices,HouseholdsNoComputers
G1200730,2016-2020,FL,Florida,12,Leon County,05000US12073,291863,175738,91018,395,10573,118,3779,20484,272721,19142,174667,1642,1900,41332,32195,16209,81389,116530,1400,115130,54675,110981,98439,106536,5549
G1200750,2016-2020,FL,Florida,12,Levy County,05000US12075,40979,35079,3394,67,387,0,293,3518,37462,3517,30126,523,583,15523,5512,3738,4247,16971,220,16751,38951,14763,10997,13564,2208
G1200770,2016-2020,FL,Florida,12,Liberty County,05000US12077,8333,6458,1173,128,35,0,169,740,7952,381,6009,56,210,3667,962,298,816,2513,0,2513,39121,2068,1487,1870,445
G1200790,2016-2020,FL,Florida,12,Madison County,05000US12079,18557,10537,7046,21,118,4,378,906,17458,1099,13744,248,515,7088,2589,1404,1900,6891,92,6799,35240,4972,3929,4494,1919
G1200810,2016-2020,FL,Florida,12,Manatee County,05000US12081,393847,327236,33429,821,8446,299,8677,29878,329230,64617,295965,3396,7712,108663,59577,27243,89374,150345,4040,146305,59963,141102,122917,131298,9243
G1200830,2016-2020,FL,Florida,12,Marion County,05000US12083,360210,287800,46559,957,5167,111,4601,30030,310819,49391,268804,3372,6230,120736,57631,25255,55580,145863,3280,142583,46587,130740,110949,119098,15123
G1200850,2016-2020,FL,Florida,12,Martin County,05000US12085,160420,139323,8989,842,2388,200,3836,9684,138433,21987,124381,1613,2105,38743,28709,11556,41655,64870,1337,63533,65821,60606,53181,56545,4264
G1200860,2016-2020,FL,Florida,12,Miami-Dade County,05000US12086,2705528,1783928,457814,5273,43192,869,125840,577224,861852,1843676,1925941,55956,122109,687018,286151,184402,590305,902200,225096,677104,53975,833566,693828,805400,68634
G1200870,2016-2020,FL,Florida,12,Monroe County,05000US12087,75137,63513,5684,80,974,141,1639,6212,56659,18478,58963,611,1562,18868,12154,4972,20796,32794,1787,31007,72012,30900,26899,29485,1894
G1200890,2016-2020,FL,Florida,12,Nassau County,05000US12089,85762,76516,4882,487,829,8,1279,3522,81878,3884,63530,667,883,24327,12848,5443,19362,33475,263,33212,72998,32153,28574,30243,1322
G1200910,2016-2020,FL,Florida,12,Okaloosa County,05000US12091,207430,159614,20286,554,6723,517,7128,25216,187672,19758,142590,1398,2456,42543,34587,15728,45878,79235,1597,77638,64373,74436,65380,70459,4799
G1200930,2016-2020,FL,Florida,12,Okeechobee County,05000US12093,41611,34308,3621,233,393,83,1644,2658,30856,10755,29483,538,1721,15138,5665,2199,4222,14601,646,13955,46097,12495,9688,11711,2106
G1200950,2016-2020,FL,Florida,12,Orange County,05000US12095,1373784,822463,288370,2780,72469,969,84227,205012,932550,441234,926073,16345,24355,287515,165665,104225,327968,468075,37503,430572,61416,447799,394751,434664,20276
G1200970,2016-2020,FL,Florida,12,Osceola County,05000US12097,363666,241619,39470,1264,10055,94,38647,65034,164714,198952,240760,5496,8117,90477,54014,26804,55852,109642,13672,95970,55538,103055,89797,99002,6587
G1200990,2016-2020,FL,Florida,12,Palm Beach County,05000US12099,1482057,1035517,276653,2897,40979,482,42118,166822,1147850,334207,1088087,21165,39612,321964,202188,99339,403819,565598,39097,526501,65015,530232,456160,504790,35366
G1201010,2016-2020,FL,Florida,12,Pasco County,05000US12101,539885,454734,31248,1565,14497,356,9872,55226,454190,85695,392420,3860,8037,161197,82876,39785,96665,209483,4054,205429,53431,193058,170361,180534,16425
G1201030,2016-2020,FL,Florida,12,Pinellas County,05000US12103,970985,776810,99798,2466,33532,913,15637,83658,874921,96064,750170,8169,12567,246338,162648,76718,243730,413239,11106,402133,56419,380566,334347,354658,32673
G1201050,2016-2020,FL,Florida,12,Polk County,05000US12105,705735,517569,107633,2306,12257,333,29844,71586,539659,166076,490414,9907,18260,208727,105678,46877,100965,240879,9962,230917,51535,217282,176560,202047,23597
G1201070,2016-2020,FL,Florida,12,Putnam County,05000US12107,73784,57871,12026,276,445,16,563,5174,66301,7483,52815,561,1988,28955,9843,4309,7159,29822,804,29018,40068,25186,18825,23245,4636
G1201090,2016-2020,FL,Florida,12,St. Johns County,05000US12109,255410,221714,13924,722,7001,197,2231,19242,236860,18550,181632,999,1719,46492,34653,16984,80785,91253,763,90490,83803,87236,79456,82766,4017
G1201110,2016-2020,FL,Florida,12,St. Lucie County,05000US12111,320914,225718,65264,1220,6416,245,8110,27882,258844,62070,234071,4038,8038,93062,52021,24315,52597,118527,4719,113808,55237,110602,96201,103726,7925
G1201130,2016-2020,FL,Florida,12,Santa Rosa County,05000US12113,179587,151935,10803,863,3360,518,3122,17972,169254,10333,126041,895,1750,42302,29615,17118,34361,65697,561,65136,70663,62550,55925,59200,3147
G1201150,2016-2020,FL,Florida,12,Sarasota County,05000US12115,427766,383635,19306,698,7788,72,4304,23926,387632,40134,342639,2777,4632,110669,68812,31010,124739,189228,4798,184430,64644,175985,156445,160087,13243
G1201170,2016-2020,FL,Florida,12,Seminole County,05000US12117,466695,339282,55780,1120,22063,209,21650,53182,364385,102310,330423,2975,3060,79986,66210,42589,135603,178094,5595,172499,70297,171126,155323,165133,6968
G1201190,2016-2020,FL,Florida,12,Sumter County,05000US12119,129938,115275,9253,348,1244,80,1344,4788,122384,7554,116720,536,1747,42381,23961,10706,37389,59076,160,58916,59618,54421,48474,49406,4655
G1201210,2016-2020,FL,Florida,12,Suwannee County,05000US12121,44290,35553,5944,66,140,0,878,3418,40046,4244,31790,258,1931,16468,6215,1919,4999,15149,180,14969,46280,12590,10253,11628,2559
G1201230,2016-2020,FL,Florida,12,Taylor County,05000US12123,21709,16027,4758,60,100,43,444,554,20789,920,15968,137,551,9774,2713,1072,1721,7172,72,7100,38295,5986,4865,5350,1186
G1201250,2016-2020,FL,Florida,12,Union County,05000US12125,15282,11104,3091,117,84,5,164,1434,14404,878,11333,36,463,6407,2193,1039,1195,4008,0,4008,55139,3374,2134,3175,634
G1201270,2016-2020,FL,Florida,12,Volusia County,05000US12127,546107,433267,59583,1794,9916,73,23725,35498,467092,79015,405556,3821,7493,153878,92860,48378,99126,220386,3841,216545,52407,204148,172437,189747,16238
G1201290,2016-2020,FL,Florida,12,Wakulla County,05000US12129,32855,26789,4483,156,151,0,344,1864,31590,1265,23905,233,385,10639,6155,2044,4449,11382,63,11319,67480,10850,8982,10342,532
G1201310,2016-2020,FL,Florida,12,Walton County,05000US12131,71049,61267,3278,453,510,0,2543,5996,66588,4461,52247,348,1101,19222,10897,4986,15693,28635,317,28318,67390,26620,22995,25297,2015
G1201330,2016-2020,FL,Florida,12,Washington County,05000US12133,25094,19956,3768,320,179,98,225,1096,24126,968,18243,191,647,10205,3942,1057,2201,9037,57,8980,37260,8034,5995,7423,1003
G1300010,2016-2020,GA,Georgia,13,Appling County,05000US13001,18428,13601,3642,123,0,0,669,786,16594,1834,12338,361,565,6510,2647,1082,1173,6650,52,6598,37924,5728,3410,5450,922
G1300030,2016-2020,GA,Georgia,13,Atkinson County,05000US13003,8311,5865,1299,56,0,0,707,768,6154,2157,5278,330,583,2596,773,350,646,2953,198,2755,35703,2513,1569,2310,440
G1300050,2016-2020,GA,Georgia,13,Bacon County,05000US13005,11140,8870,1832,0,52,0,206,360,10207,933,7331,175,225,4170,1659,421,681,3743,85,3658,36692,3118,2056,2981,625
G1300070,2016-2020,GA,Georgia,13,Baker County,05000US13007,3090,1682,1181,3,175,17,0,64,2949,141,2292,53,79,1065,416,189,490,1448,0,1448,34034,952,562,851,496
G1300090,2016-2020,GA,Georgia,13,Baldwin County,05000US13009,45072,24113,18952,52,802,72,223,1716,44009,1063,28134,246,841,11884,5659,2657,6847,16698,141,16557,46250,14901,11908,13799,1797
G1300110,2016-2020,GA,Georgia,13,Banks County,05000US13011,18900,17221,408,94,211,0,479,974,17575,1325,13149,221,827,6644,2328,1058,2071,6941,23,6918,50912,5776,4648,5532,1165
G1300130,2016-2020,GA,Georgia,13,Barrow County,05000US13013,81294,61666,9857,194,3249,5,2456,7734,71943,9351,53636,1399,1271,22923,12796,4418,10829,27268,604,26664,62990,25443,22024,24153,1825
G1300150,2016-2020,GA,Georgia,13,Bartow County,05000US13015,106456,86828,10680,154,983,62,3228,9042,96997,9459,71144,988,2168,32106,16408,5396,14078,37905,862,37043,61226,34974,28471,33323,2931
G1300170,2016-2020,GA,Georgia,13,Ben Hill County,05000US13017,16889,9858,6238,0,99,0,485,418,15837,1052,11347,215,407,6477,1945,1058,1245,6612,103,6509,32077,5503,3780,5215,1109
G1300190,2016-2020,GA,Georgia,13,Berrien County,05000US13019,19206,16037,1997,12,186,0,405,1138,18191,1015,13258,179,618,7295,2428,990,1748,7391,40,7351,42089,6036,4631,5627,1355
G1300210,2016-2020,GA,Georgia,13,Bibb County,05000US13021,153026,60112,83070,315,3084,66,1498,9762,147815,5211,100107,1672,2353,40639,22769,7336,25338,58154,377,57777,41317,51168,40318,48589,6986
G1300230,2016-2020,GA,Georgia,13,Bleckley County,05000US13023,12870,9092,3673,0,15,0,44,92,12464,406,8241,93,237,3702,1966,764,1479,4250,13,4237,46992,3583,2894,3327,667
G1300250,2016-2020,GA,Georgia,13,Brantley County,05000US13025,18924,17674,657,43,174,0,88,576,18492,432,12965,127,595,7719,2445,1190,889,6763,13,6750,34679,5984,4030,5901,779
G1300270,2016-2020,GA,Georgia,13,Brooks County,05000US13027,15548,9042,5593,0,96,17,517,566,14630,918,11042,191,462,4857,2493,1218,1821,6392,36,6356,37516,5205,3827,4814,1187
G1300290,2016-2020,GA,Georgia,13,Bryan County,05000US13029,38321,28858,5553,172,515,26,1175,4044,35434,2887,24167,125,446,7447,5969,2214,7966,13503,128,13375,76121,12693,10730,12298,810
G1300310,2016-2020,GA,Georgia,13,Bulloch County,05000US13031,77719,50039,21777,173,1066,208,1191,6530,74487,3232,43788,270,790,16646,10197,3793,12092,27967,342,27625,48786,25888,21277,24816,2079
G1300330,2016-2020,GA,Georgia,13,Burke County,05000US13033,22567,11140,10685,0,102,0,260,760,21840,727,14530,158,624,7218,2885,1542,2103,7953,100,7853,45699,6937,4982,6470,1016
G1300350,2016-2020,GA,Georgia,13,Butts County,05000US13035,24463,16509,6949,2,117,0,248,1276,23643,820,17284,168,465,9943,3553,1238,1917,8342,21,8321,48282,7346,6246,6739,996
G1300370,2016-2020,GA,Georgia,13,Calhoun County,05000US13037,6301,2135,3793,0,54,0,216,206,5987,314,4685,46,313,2519,1056,196,555,1726,12,1714,41962,1374,958,1310,352
G1300390,2016-2020,GA,Georgia,13,Camden County,05000US13039,53960,39095,9831,385,1034,48,749,5636,50192,3768,34585,249,444,13199,9920,2993,7780,19746,38,19708,60594,18522,15355,17803,1224
G1300430,2016-2020,GA,Georgia,13,Candler County,05000US13043,10834,7346,2727,0,63,0,402,592,9562,1272,7170,82,523,3865,1470,416,814,4042,146,3896,36955,3278,2271,3031,764
G1300450,2016-2020,GA,Georgia,13,Carroll County,05000US13045,118692,87103,23310,947,911,65,2935,6842,110365,8327,75307,1119,2197,33102,17330,4935,16624,42196,577,41619,59197,38099,31030,36724,4097
G1300470,2016-2020,GA,Georgia,13,Catoosa County,05000US13047,67181,61649,1443,231,913,36,1119,3580,65135,2046,46650,552,922,18886,11598,3941,10751,25151,143,25008,58932,22978,18522,21747,2173
G1300490,2016-2020,GA,Georgia,13,Charlton County,05000US13049,13032,8522,3430,162,142,13,241,1044,12094,938,9319,190,672,4892,1739,632,1194,3826,4,3822,42743,3190,2270,2879,636
G1300510,2016-2020,GA,Georgia,13,Chatham County,05000US13051,289649,148803,116658,727,7973,444,5558,18972,270777,18872,196367,2262,3464,61048,46903,15214,67476,109868,1846,108022,57739,103117,86077,99281,6751
G1300530,2016-2020,GA,Georgia,13,Chattahoochee County,05000US13053,10470,6887,2213,15,257,42,382,1348,8771,1699,4876,20,107,1663,1409,361,1316,2550,78,2472,45700,2238,1832,2195,312
G1300550,2016-2020,GA,Georgia,13,Chattooga County,05000US13055,24826,21037,2421,15,98,0,538,1434,23501,1325,17132,384,1463,9469,3058,1093,1665,9106,130,8976,37351,7361,5357,6810,1745
G1300570,2016-2020,GA,Georgia,13,Cherokee County,05000US13057,253780,216093,17665,724,4731,236,4581,19500,226736,27044,171751,1877,3341,48548,40420,14154,63411,90372,2095,88277,84817,86880,80324,83622,3492
G1300590,2016-2020,GA,Georgia,13,Clarke County,05000US13059,126952,78708,35829,225,4934,53,3000,8406,113281,13671,72056,967,1645,19297,12713,4754,32680,50284,1527,48757,40363,47062,41162,45072,3222
G1300610,2016-2020,GA,Georgia,13,Clay County,05000US13061,2931,1251,1632,0,31,0,11,12,2921,10,2161,16,69,1022,405,284,365,1313,0,1313,32434,1174,686,1057,139
G1300630,2016-2020,GA,Georgia,13,Clayton County,05000US13063,287560,43404,200776,403,14758,201,17312,21412,249706,37854,179050,4725,6685,75469,41436,16454,34281,96826,4658,92168,49460,90578,73122,86351,6248
G1300650,2016-2020,GA,Georgia,13,Clinch County,05000US13065,6648,4485,1672,156,2,0,238,190,6246,402,4486,24,483,2363,953,177,486,2387,1,2386,38844,1868,1389,1756,519
G1300670,2016-2020,GA,Georgia,13,Cobb County,05000US13067,756653,432175,208593,1699,41663,478,36815,70460,658016,98637,510668,5656,13185,112905,95616,35924,247382,283359,8704,274655,80830,275518,251613,267781,7841
G1300690,2016-2020,GA,Georgia,13,Coffee County,05000US13069,43070,28232,12335,34,300,0,667,3004,38010,5060,28396,352,2110,15362,5347,1770,3455,14832,445,14387,42526,12673,9237,11979,2159
G1300710,2016-2020,GA,Georgia,13,Colquitt County,05000US13071,45510,28489,10681,504,346,9,4399,2164,36660,8850,29783,627,2322,16024,4840,1898,4072,15865,747,15118,36799,13814,8939,12694,2051
G1300730,2016-2020,GA,Georgia,13,Columbia County,05000US13073,154257,111740,25908,387,6376,0,1866,15960,143613,10644,102800,943,979,30312,21026,12036,37504,48233,729,47504,82251,45837,40702,43828,2396
G1300750,2016-2020,GA,Georgia,13,Cook County,05000US13075,17217,11818,4709,0,151,0,133,812,16215,1002,11287,244,372,5263,2539,1097,1772,6202,35,6167,40943,5165,3852,4826,1037
G1300770,2016-2020,GA,Georgia,13,Coweta County,05000US13077,145839,109633,25557,360,2918,24,2437,9820,135479,10360,98354,1031,1961,33267,21098,8289,32708,53104,884,52220,79795,50097,43832,48124,3007
G1300790,2016-2020,GA,Georgia,13,Crawford County,05000US13079,12267,9146,2709,16,15,0,209,344,11843,424,8702,41,283,4739,2190,524,925,4573,7,4566,47917,3984,2927,3754,589
G1300810,2016-2020,GA,Georgia,13,Crisp County,05000US13081,22509,11813,10303,0,26,23,42,604,21717,792,15040,94,681,7814,3079,1317,2055,8479,42,8437,38272,7230,4765,6881,1249
G1300830,2016-2020,GA,Georgia,13,Dade County,05000US13083,16183,15188,182,0,206,21,66,1040,15807,376,11155,193,481,5477,2230,1016,1758,6155,11,6144,40384,5271,3850,5016,884
G1300850,2016-2020,GA,Georgia,13,Dawson County,05000US13085,25277,23937,187,26,179,0,98,1700,24039,1238,17986,243,272,6321,3948,1150,6052,9521,38,9483,72260,9091,8114,8701,430
G1300870,2016-2020,GA,Georgia,13,Decatur County,05000US13087,26595,13871,11094,38,179,0,1082,662,24959,1636,17728,424,857,8231,3751,1976,2489,9684,43,9641,40567,7180,4868,6761,2504
G1300890,2016-2020,GA,Georgia,13,DeKalb County,05000US13089,755287,252673,402410,6594,46505,503,13527,66150,691561,63726,515835,8350,14060,134090,86775,37368,235192,283799,12798,271001,65116,266747,228196,257821,17052
G1300910,2016-2020,GA,Georgia,13,Dodge County,05000US13091,20725,13986,6172,17,66,0,195,578,19959,766,15069,129,366,7889,3338,1044,2303,7530,0,7530,42211,6018,4742,5386,1512
G1300930,2016-2020,GA,Georgia,13,Dooly County,05000US13093,13571,6160,6711,6,0,0,251,886,12618,953,9910,114,465,5521,1849,678,1283,4979,41,4938,48039,3958,2917,3656,1021
G1300950,2016-2020,GA,Georgia,13,Dougherty County,05000US13095,88696,22825,61851,162,862,40,1156,3600,86092,2604,57110,848,1845,22963,13640,5160,12654,34233,234,33999,40947,29732,22264,28124,4501
G1300970,2016-2020,GA,Georgia,13,Douglas County,05000US13097,145063,64710,69022,124,2490,13,3887,9634,130719,14344,93965,1025,2575,36014,19638,8268,26445,49788,980,48808,67651,47232,41210,45872,2556
G1300990,2016-2020,GA,Georgia,13,Early County,05000US13099,10218,4578,5201,50,52,0,54,566,9981,237,6736,50,329,3494,1423,516,924,4196,0,4196,34811,2785,1686,2634,1411
G1301010,2016-2020,GA,Georgia,13,Echols County,05000US13101,3944,2637,140,64,0,0,672,862,2836,1108,2683,24,160,1699,413,177,210,1497,57,1440,44454,1031,820,942,466
G1301030,2016-2020,GA,Georgia,13,Effingham County,05000US13103,62241,49910,8460,110,415,52,873,4842,59300,2941,40609,508,741,18387,8164,3093,9716,21828,232,21596,67050,20503,17151,19713,1325
G1301050,2016-2020,GA,Georgia,13,Elbert County,05000US13105,19164,12713,5683,27,123,0,228,780,18052,1112,13505,278,403,7736,2727,772,1589,7695,213,7482,39323,6026,4615,5407,1669
G1301070,2016-2020,GA,Georgia,13,Emanuel County,05000US13107,22525,13956,7532,48,38,0,240,1422,21492,1033,14899,401,756,8335,2490,1220,1697,8273,74,8199,38423,6903,4876,6576,1370
G1301090,2016-2020,GA,Georgia,13,Evans County,05000US13109,10671,6186,3048,32,101,0,1042,524,9414,1257,7125,80,534,3790,1191,381,1149,4006,166,3840,46392,3453,2242,3383,553
G1301110,2016-2020,GA,Georgia,13,Fannin County,05000US13111,25797,24708,45,26,79,35,295,1218,25152,645,19988,179,622,8431,4328,2013,4415,11174,39,11135,46028,9846,8696,9101,1328
G1301130,2016-2020,GA,Georgia,13,Fayette County,05000US13113,113544,73208,26715,166,4988,196,3578,9386,105222,8322,77608,504,719,18685,15039,6374,36287,40792,680,40112,93777,39250,36800,37468,1542
G1301150,2016-2020,GA,Georgia,13,Floyd County,05000US13115,97805,76407,13548,154,1167,19,2935,7150,86756,11049,65340,1224,2974,28278,13563,5338,13963,36192,951,35241,50657,32373,25096,29944,3819
G1301170,2016-2020,GA,Georgia,13,Forsyth County,05000US13117,236605,178832,8574,691,33873,49,4792,19588,214311,22294,154009,1395,3045,29331,25370,10405,84463,80319,2384,77935,112834,78272,73897,76331,2047
G1301190,2016-2020,GA,Georgia,13,Franklin County,05000US13119,23015,19641,2045,74,273,0,502,960,21895,1120,15609,245,615,7646,2898,1530,2675,8425,143,8282,47821,7167,5428,6655,1258
G1301210,2016-2020,GA,Georgia,13,Fulton County,05000US13121,1051550,456397,458669,4084,76832,407,18208,73906,976205,75345,716013,6548,10248,156708,108921,43295,390293,427379,11979,415400,72741,403226,358746,389876,24153
G1301230,2016-2020,GA,Georgia,13,Gilmer County,05000US13123,30986,28542,131,343,98,3,1098,1542,27349,3637,22968,305,1106,10327,4513,1796,4921,12423,305,12118,57376,10923,8941,10147,1500
G1301250,2016-2020,GA,Georgia,13,Glascock County,05000US13125,2984,2652,290,14,0,1,0,54,2935,49,2041,42,131,1084,450,123,211,1118,0,1118,46500,925,611,872,193
G1301270,2016-2020,GA,Georgia,13,Glynn County,05000US13127,85008,57618,21640,203,1283,94,1151,6038,79392,5616,59748,878,1194,20794,14064,5084,17734,34191,608,33583,56952,30486,24745,28981,3705
G1301290,2016-2020,GA,Georgia,13,Gordon County,05000US13129,57756,48960,2348,715,694,77,2912,4100,48454,9302,38713,735,2555,18677,8024,2569,6153,20446,663,19783,48662,17974,14781,16731,2472
G1301310,2016-2020,GA,Georgia,13,Grady County,05000US13131,24693,15910,7203,116,152,11,76,2450,21882,2811,16840,366,1044,8229,3165,1463,2573,9116,206,8910,48047,7627,5701,7337,1489
G1301330,2016-2020,GA,Georgia,13,Greene County,05000US13133,17808,10486,6146,0,202,4,697,546,16717,1091,13253,79,595,5139,2529,864,4047,7371,37,7334,57880,6277,5065,5856,1094
G1301350,2016-2020,GA,Georgia,13,Gwinnett County,05000US13135,926414,420220,260366,3619,112541,412,79446,99620,729760,196654,591944,11929,25583,167467,109590,56007,221368,299683,26009,273674,72787,288756,262500,280348,10927
G1301370,2016-2020,GA,Georgia,13,Habersham County,05000US13137,45204,38422,1196,73,977,321,2276,3878,38167,7037,30402,725,1884,13856,5690,1841,6406,15258,509,14749,54147,12912,10352,12091,2346
G1301390,2016-2020,GA,Georgia,13,Hall County,05000US13139,201434,162231,14476,518,3836,21,8179,24346,143963,57471,132146,5041,10104,49426,26981,8898,31696,65555,3350,62205,63651,61232,51933,58415,4323
G1301410,2016-2020,GA,Georgia,13,Hancock County,05000US13141,8500,2088,6140,0,121,12,101,76,8370,130,6842,223,590,3786,1149,455,639,3072,0,3072,32914,2151,1492,1979,921
G1301430,2016-2020,GA,Georgia,13,Haralson County,05000US13143,29608,27222,1287,40,248,0,171,1280,29046,562,20356,225,799,10005,4622,1191,3514,11454,0,11454,52021,10127,7647,9524,1327
G1301450,2016-2020,GA,Georgia,13,Harris County,05000US13145,34676,27450,5545,40,228,2,346,2130,33367,1309,24441,96,284,7500,6080,2560,7921,12429,14,12415,79860,11719,10133,11173,710
G1301470,2016-2020,GA,Georgia,13,Hart County,05000US13147,25981,19952,5093,147,251,0,124,828,25023,958,19012,271,639,9129,4076,1628,3269,10271,164,10107,45874,9073,6518,8531,1198
G1301490,2016-2020,GA,Georgia,13,Heard County,05000US13149,11785,10222,998,0,97,16,37,830,11460,325,8081,145,242,4462,2028,463,741,4649,41,4608,50583,3854,2733,3650,795
G1301510,2016-2020,GA,Georgia,13,Henry County,05000US13151,229994,104473,104872,226,7829,0,3670,17848,213747,16247,149170,1591,2007,55363,33946,14412,41851,78204,1384,76820,71110,75455,68281,72489,2749
G1301530,2016-2020,GA,Georgia,13,Houston County,05000US13153,155317,92182,48639,935,5211,276,1541,13066,145114,10203,101912,823,1871,32229,24482,10929,31578,58042,783,57259,65870,54279,46862,51959,3763
G1301550,2016-2020,GA,Georgia,13,Irwin County,05000US13155,9379,6564,2707,34,39,0,18,34,8994,385,6463,51,189,3339,1258,517,1109,3477,17,3460,41484,2733,1929,2622,744
G1301570,2016-2020,GA,Georgia,13,Jackson County,05000US13157,70467,60046,4912,11,1255,24,1797,4844,64759,5708,47642,1160,1290,19824,10017,4173,11178,24268,219,24049,68307,22194,19305,21321,2074
G1301590,2016-2020,GA,Georgia,13,Jasper County,05000US13159,14074,10593,2772,15,23,0,409,524,13526,548,9777,157,293,5128,1983,790,1426,5326,33,5293,52409,4568,3721,4342,758
G1301610,2016-2020,GA,Georgia,13,Jeff Davis County,05000US13161,15063,11435,2463,0,38,0,551,1152,13215,1848,9674,153,364,5160,2139,796,1062,5139,44,5095,36987,4344,2983,4142,795
G1301630,2016-2020,GA,Georgia,13,Jefferson County,05000US13163,15489,6770,8210,21,58,0,257,346,14886,603,10598,112,748,5696,2112,799,1131,5583,53,5530,37009,4482,2795,4273,1101
G1301650,2016-2020,GA,Georgia,13,Jenkins County,05000US13165,8787,5101,3127,183,63,0,186,254,8231,556,6034,64,356,3738,1128,433,315,3392,137,3255,25712,2696,1754,2535,696
G1301670,2016-2020,GA,Georgia,13,Johnson County,05000US13167,9717,6204,3291,0,19,0,36,334,9466,251,7052,53,417,4759,832,497,494,3483,0,3483,42421,2751,1811,2495,732
G1301690,2016-2020,GA,Georgia,13,Jones County,05000US13169,28622,20684,7011,46,175,0,92,1228,28114,508,19786,154,364,8758,4268,2121,4121,10914,0,10914,63046,9920,8283,9233,994
G1301710,2016-2020,GA,Georgia,13,Lamar County,05000US13171,18834,12574,5348,6,103,0,118,1370,18356,478,12348,131,118,6285,3181,899,1734,6658,0,6658,50088,5947,4432,5569,711
G1301730,2016-2020,GA,Georgia,13,Lanier County,05000US13173,10534,7642,2426,15,50,0,57,688,9865,669,7079,88,184,3455,1292,665,1395,3825,0,3825,32158,3178,2538,3045,647
G1301750,2016-2020,GA,Georgia,13,Laurens County,05000US13175,47404,27385,17834,108,520,9,1140,816,46107,1297,31828,465,836,16233,6161,2682,5451,17159,100,17059,39476,13115,10687,10777,4044
G1301770,2016-2020,GA,Georgia,13,Lee County,05000US13177,29735,21401,6451,35,676,41,180,1902,28830,905,19536,104,170,6988,4643,2335,5296,10550,69,10481,68338,10005,8987,9511,545
G1301790,2016-2020,GA,Georgia,13,Liberty County,05000US13179,62039,27121,25241,313,1179,324,2482,10758,54190,7849,36054,327,573,12700,11234,4266,6954,24053,508,23545,50411,22900,18891,21953,1153
G1301810,2016-2020,GA,Georgia,13,Lincoln County,05000US13181,7929,5357,2382,4,8,3,73,204,7769,160,5842,12,183,3255,1119,461,812,3277,9,3268,42036,2422,1822,2103,855
G1301830,2016-2020,GA,Georgia,13,Long County,05000US13183,19236,11747,4832,45,129,67,1194,2444,17047,2189,12150,56,221,6416,2858,817,1782,6006,162,5844,52099,5767,4204,5424,239
G1301850,2016-2020,GA,Georgia,13,Lowndes County,05000US13185,116436,64981,42998,623,1711,138,2493,6984,109633,6803,68849,844,1532,28173,14223,6027,18050,42755,277,42478,46113,36939,29701,34985,5816
G1301870,2016-2020,GA,Georgia,13,Lumpkin County,05000US13187,33009,31109,694,127,270,25,347,874,31380,1629,20875,175,468,8157,4225,1292,6558,11866,110,11756,52872,10720,9373,9965,1146
G1301890,2016-2020,GA,Georgia,13,McDuffie County,05000US13189,21404,11470,8547,0,91,244,569,966,20720,684,14403,133,443,7495,2987,1182,2163,8238,107,8131,47327,6988,5173,6727,1250
G1301910,2016-2020,GA,Georgia,13,McIntosh County,05000US13191,14217,8863,4920,13,240,0,0,362,14158,59,11209,32,66,5742,2650,763,1956,6343,8,6335,56262,5513,4232,5230,830
G1301930,2016-2020,GA,Georgia,13,Macon County,05000US13193,13107,4400,8111,0,11,0,458,254,12544,563,9400,82,698,4872,2260,538,950,4648,25,4623,31910,3702,2691,3393,946
G1301950,2016-2020,GA,Georgia,13,Madison County,05000US13195,29624,24771,2614,62,377,0,1105,1390,27908,1716,20426,300,1021,9392,3837,1950,3926,10622,134,10488,51142,9571,7816,8811,1051
G1301970,2016-2020,GA,Georgia,13,Marion County,05000US13197,8450,5090,2578,11,101,35,395,480,7797,653,5960,114,286,3022,1303,434,801,3423,0,3423,52450,2719,2017,2506,704
G1301990,2016-2020,GA,Georgia,13,Meriwether County,05000US13199,21080,12213,8501,13,52,0,150,302,20592,488,14873,154,517,8073,3720,806,1603,8255,0,8255,40769,6496,4672,5879,1759
G1302010,2016-2020,GA,Georgia,13,Miller County,05000US13201,5725,3878,1777,12,6,28,0,48,5694,31,3988,57,72,1626,969,521,743,2339,0,2339,49771,1541,1075,1456,798
G1302050,2016-2020,GA,Georgia,13,Mitchell County,05000US13205,22072,10619,10159,76,100,55,296,1534,21043,1029,15369,218,532,8328,3335,1165,1791,8018,57,7961,39404,6923,4284,6440,1095
G1302070,2016-2020,GA,Georgia,13,Monroe County,05000US13207,27455,20224,6254,49,172,0,210,1092,26806,649,19208,184,482,8375,3831,1227,5109,10177,73,10104,60491,9275,7485,8747,902
G1302090,2016-2020,GA,Georgia,13,Montgomery County,05000US13209,9069,6099,2379,0,35,0,453,206,8446,623,6029,76,200,3026,1154,580,993,3061,118,2943,45230,2751,2006,2557,310
G1302110,2016-2020,GA,Georgia,13,Morgan County,05000US13211,18832,13751,4562,11,13,0,262,466,18241,591,13344,221,357,5812,2788,939,3227,7040,4,7036,68669,6304,4890,6089,736
